Timestamp,Waterniveau
2025-05-16 14:00:00,-3.194
2025-05-16 15:00:00,-3.197
2025-05-16 16:00:00,-3.193
2025-05-16 17:00:00,-3.198
2025-05-16 18:00:00,-3.194
2025-05-16 19:00:00,-3.194
2025-05-16 20:00:00,-3.195
2025-05-16 21:00:00,-3.197
2025-05-16 22:00:00,-3.193
2025-05-16 23:00:00,-3.196
2025-05-17 00:00:00,-3.197
2025-05-17 01:00:00,-3.193
2025-05-17 02:00:00,-3.191
2025-05-17 03:00:00,-3.195
2025-05-17 04:00:00,-3.194
2025-05-17 05:00:00,-3.196
2025-05-17 06:00:00,-3.194
2025-05-17 07:00:00,-3.192
2025-05-17 08:00:00,-3.195
2025-05-17 09:00:00,-3.196
2025-05-17 10:00:00,-3.195
2025-05-17 11:00:00,-3.196
2025-05-17 12:00:00,-3.191
2025-05-17 13:00:00,-3.199
2025-05-17 14:00:00,-3.189
2025-05-17 15:00:00,-3.196
2025-05-17 16:00:00,-3.192
2025-05-17 17:00:00,-3.198
2025-05-17 18:00:00,-3.193
2025-05-17 19:00:00,-3.199
2025-05-17 20:00:00,-3.206
2025-05-17 21:00:00,-3.204
2025-05-17 22:00:00,-3.193
2025-05-17 23:00:00,-3.194
2025-05-18 00:00:00,-3.195
2025-05-18 01:00:00,-3.198
2025-05-18 02:00:00,-3.193
2025-05-18 03:00:00,-3.193
2025-05-18 04:00:00,-3.191
2025-05-18 05:00:00,-3.196
2025-05-18 06:00:00,-3.195
2025-05-18 07:00:00,-3.193
2025-05-18 08:00:00,-3.194
2025-05-18 09:00:00,-3.195
2025-05-18 10:00:00,-3.196
2025-05-18 11:00:00,-3.193
2025-05-18 12:00:00,-3.195
2025-05-18 13:00:00,-3.188
2025-05-18 14:00:00,-3.19
2025-05-18 15:00:00,-3.188
2025-05-18 16:00:00,-3.196
2025-05-18 17:00:00,-3.193
2025-05-18 18:00:00,-3.186
2025-05-18 19:00:00,-3.19
2025-05-18 20:00:00,-3.188
2025-05-18 21:00:00,-3.187
2025-05-18 22:00:00,-3.191
2025-05-18 23:00:00,-3.189
2025-05-19 00:00:00,-3.19
2025-05-19 01:00:00,-3.192
2025-05-19 02:00:00,-3.192
2025-05-19 03:00:00,-3.188
